Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,DEV,AlphaTauri,21.0,93.652,30.05,37.849,25.753,SOFT,21.0,293.0,253.0,246.0,300.0,40.831,0.1538
British,2023,DEV,AlphaTauri,22.0,93.647,30.073,37.855,25.719,SOFT,22.0,292.0,253.0,246.0,299.0,39.934,0.1543
British,2023,DEV,AlphaTauri,23.0,93.622,29.959,37.93,25.733,SOFT,23.0,291.0,253.0,246.0,299.0,40.21,0.1264
British,2023,DEV,AlphaTauri,24.0,93.663,29.95,37.955,25.758,SOFT,24.0,293.0,253.0,246.0,300.0,39.505,0.0757
British,2023,DEV,AlphaTauri,25.0,93.553,30.023,37.955,25.575,SOFT,25.0,293.0,254.0,246.0,302.0,39.425,0.0442
British,2023,DEV,AlphaTauri,26.0,93.754,30.036,38.012,25.706,SOFT,26.0,293.0,252.0,247.0,300.0,40.088,0.0727
British,2023,DEV,AlphaTauri,29.0,92.499,29.586,37.541,25.372,MEDIUM,2.0,292.0,254.0,247.0,303.0,40.112,0.519
British,2023,DEV,AlphaTauri,30.0,92.564,29.705,37.467,25.392,MEDIUM,3.0,294.0,257.0,248.0,305.0,40.241,0.6208
British,2023,DEV,AlphaTauri,31.0,92.829,29.797,37.519,25.513,MEDIUM,4.0,293.0,257.0,247.0,304.0,40.076,0.5781
British,2023,DEV,AlphaTauri,39.0,93.647,29.475,38.321,25.851,SOFT,7.0,308.0,259.0,248.0,308.0,40.78,0.6001
British,2023,DEV,AlphaTauri,40.0,93.18,29.488,37.965,25.727,SOFT,8.0,297.0,257.0,247.0,310.0,40.981,0.4758
British,2023,DEV,AlphaTauri,41.0,92.65,29.6,37.438,25.612,SOFT,9.0,305.0,263.0,248.0,334.0,41.108,0.4443
British,2023,DEV,AlphaTauri,42.0,92.369,29.334,37.495,25.54,SOFT,10.0,321.0,261.0,249.0,333.0,40.425,0.4949
British,2023,DEV,AlphaTauri,43.0,92.516,29.348,37.515,25.653,SOFT,11.0,320.0,259.0,248.0,329.0,40.328,0.5302
British,2023,DEV,AlphaTauri,44.0,94.017,29.335,38.402,26.28,SOFT,12.0,317.0,255.0,247.0,308.0,40.891,0.6722
British,2023,DEV,AlphaTauri,45.0,92.829,29.474,37.735,25.62,SOFT,13.0,318.0,259.0,248.0,326.0,40.77,0.6599
British,2023,DEV,AlphaTauri,46.0,92.716,29.466,37.597,25.653,SOFT,14.0,301.0,260.0,246.0,309.0,40.447,0.6549
British,2023,DEV,AlphaTauri,47.0,92.456,29.449,37.429,25.578,SOFT,15.0,304.0,258.0,246.0,310.0,39.062,0.6385
British,2023,DEV,AlphaTauri,48.0,92.353,29.401,37.386,25.566,SOFT,16.0,302.0,259.0,247.0,304.0,39.762,0.667
British,2023,DEV,AlphaTauri,49.0,92.54,29.496,37.443,25.601,SOFT,17.0,303.0,258.0,248.0,309.0,40.079,0.193
British,2023,DEV,AlphaTauri,50.0,92.632,29.46,37.373,25.799,SOFT,18.0,303.0,258.0,246.0,305.0,38.645,0.1427
British,2023,DEV,AlphaTauri,51.0,92.445,29.385,37.301,25.759,SOFT,19.0,302.0,259.0,247.0,305.0,39.418,0.1055
British,2023,DEV,AlphaTauri,52.0,92.42,29.39,37.43,25.6,SOFT,20.0,303.0,260.0,247.0,309.0,40.266,0.1091
British,2023,GAS,Alpine,2.0,94.706,29.954,38.367,26.385,MEDIUM,2.0,289.0,249.0,244.0,294.0,40.324,
British,2023,GAS,Alpine,3.0,93.605,29.596,38.168,25.841,MEDIUM,3.0,306.0,253.0,244.0,317.0,40.587,
British,2023,GAS,Alpine,4.0,93.349,29.492,38.086,25.771,MEDIUM,4.0,304.0,254.0,245.0,314.0,40.695,0.721
